Source_LV,Source_RV,Period_LV,Period_RV,Sample_and_Kind_LV,Sample_and_Kind_RV,Result_LV,Result_RV,Hillary_Trump_LV,Hillary_Trump_RV
Rasmussen Reports,ABC News/Wash Post,7/12 - 7/13,7/11 - 7/14,1000 LV,816 RV,Trump +7,Clinton +4,-7,4
Rasmussen Reports,McClatchy/Marist,7/5 - 7/5,7/5 - 7/9,1000 LV,1053 RV,Trump +2,Clinton +3,-2,3
USA Today/Suffolk,PPP (D),6/26 - 6/29,6/27 - 6/28,1000 LV,947 RV,Clinton +6,Clinton +4,6,4
Rasmussen Reports,NBC News/Wall St. Jrnl,6/20 - 6/21,6/19 - 6/23,1000 LV,1000 RV,Clinton +5,Clinton +5,5,5
Monmouth,CNN/ORC,6/15 - 6/19,6/16 - 6/19,721 LV,891 RV,Clinton +8,Clinton +5,8,5
Rasmussen Reports,Gravis*,6/14 - 6/15,6/16 - 6/16,1000 LV,2197 RV,Clinton +5,Clinton +4,5,4
Bloomberg*,CNBC,6/10 - 6/13,6/11 - 6/13,750 LV,801 RV,Clinton +12,Clinton +5,12,5
Rasmussen Reports,FOX News,6/6 - 6/7,6/5 - 6/8,1000 LV,1004 RV,Clinton +4,Clinton +3,4,3
Rasmussen Reports,IBD/TIPP,5/31 - 6/1,5/31 - 6/5,1000 LV,850 RV,Clinton +1,Clinton +5,1,5
Rasmussen Reports,Quinnipiac,5/23 - 5/24,5/24 - 5/30,1000 LV,1561 RV,Clinton +1,Clinton +4,1,4
LA Times/USC,ABC News/Wash Post,8/14 - 8/20,5/16 - 5/19,2385 LV,829 RV,Trump +2,Trump +2,-2,-2
Rasmussen Reports,NBC News/Wall St. Jrnl,5/17 - 5/18,5/15 - 5/19,1000 LV,1000 RV,Trump +5,Clinton +3,-5,3
Rasmussen Reports,CNN/ORC,4/27 - 4/28,4/28 - 5/1,1000 LV,890 RV,Trump +2,Clinton +13,-2,13
Rasmussen Reports,IBD/TIPP,4/25 - 4/26,4/22 - 4/28,1000 LV,814 RV,Tie,Clinton +7,0,7
GWU/Battleground,FOX News,4/17 - 4/20,4/11 - 4/13,1000 LV,1021 RV,Clinton +3,Clinton +7,3,7
Bloomberg,FOX News,3/19 - 3/22,3/20 - 3/22,815 LV,1016 RV,Clinton +18,Clinton +11,18,11
Rasmussen Reports,NBC News/Wall St. Jrnl,2/29 - 3/1,3/3 - 3/6,1000 LV,1200 RV,Clinton +5,Clinton +13,5,13
